,k,thresh,precision,recall,f1_avg
0,50.0,0.2,0.06494519134519124,0.9066666666666666,0.11805071440668459
1,50.0,0.3,0.07009883701158416,0.8709523809523808,0.12567534058780397
2,50.0,0.4,0.10219500141964057,0.7027933301266633,0.15899719396334297
3,50.0,0.5,0.16341720717519814,0.448804232804233,0.17926621597353698
4,50.0,0.6,0.1594588061287266,0.25909876543209875,0.14996816060853316
5,50.0,0.7,0.09006117147195578,0.12725925925925924,0.0885303737518332
6,50.0,0.8,0.04503475464259778,0.05162962962962962,0.04330942272971258
7,100.0,0.2,0.04272546632846917,0.9422222222222222,0.0805127748105471
8,100.0,0.3,0.05657807977903225,0.8307859547859551,0.10194457592868206
9,100.0,0.4,0.09685134582823157,0.6183333333333335,0.14545014771303244
10,100.0,0.5,0.161945475556947,0.3811712361712364,0.16835067167356713
11,100.0,0.6,0.15865963649525536,0.22160846560846564,0.1398299769611878
12,100.0,0.7,0.09006117147195578,0.1139259259259259,0.08490693052838996
13,100.0,0.8,0.04503475464259778,0.04311111111111111,0.03894963436992423
14,150.0,0.2,0.0340565289982643,0.9387192560525894,0.06483553823589892
15,150.0,0.3,0.05250407501869966,0.7825730565730565,0.0939131481968029
16,150.0,0.4,0.09605464559689816,0.5701691395024727,0.14081185396146334
17,150.0,0.5,0.1617893686631772,0.3547623857623857,0.16315258433773033
18,150.0,0.6,0.15865963649525536,0.20765993265993263,0.13642884826986001
19,150.0,0.7,0.09006117147195578,0.11199999999999996,0.08386989349135295
20,150.0,0.8,0.04503475464259778,0.04192592592592592,0.03793376135405121
21,200.0,0.2,0.029909673959305754,0.9265396455396454,0.05712244666461979
22,200.0,0.3,0.050948698782959885,0.7449294285960951,0.09022621936410477
23,200.0,0.4,0.09594182566207472,0.5353517593517594,0.1383087379993683
24,200.0,0.5,0.16176732478944794,0.33522885683670006,0.15924960641453315
25,200.0,0.6,0.15865963649525536,0.19900779032151583,0.1338269724024475
26,200.0,0.7,0.09006117147195578,0.1116296296296296,0.08342544904690849
27,200.0,0.8,0.04503475464259778,0.04192592592592592,0.03793376135405121
28,250.0,0.2,0.028032149679127597,0.9161598229580685,0.05354058966601175
29,250.0,0.3,0.050397652125504754,0.7140764660940098,0.08857500534356363
30,250.0,0.4,0.09593206115933516,0.5086782226869945,0.1369703712721732
31,250.0,0.5,0.16176732478944794,0.3184410157743491,0.15718368398565835
32,250.0,0.6,0.15865963649525536,0.1887498797498797,0.13048183115042386
33,250.0,0.7,0.09006117147195578,0.10881481481481481,0.08292488787968065
34,250.0,0.8,0.04503475464259778,0.04155555555555555,0.037637465057754914
35,300.0,0.2,0.026932989554380348,0.8943484932870897,0.05141438004311132
36,300.0,0.3,0.05013285926368932,0.6921238826151105,0.08779987272409019
37,300.0,0.4,0.09593105487002698,0.49053991395219454,0.1360656073291248
38,300.0,0.5,0.16176732478944794,0.3111260714594047,0.15658433698387125
39,300.0,0.6,0.15865963649525536,0.1861311527978195,0.12917752620503625
40,300.0,0.7,0.09006117147195578,0.10799999999999997,0.08231818593964538
41,300.0,0.8,0.04503475464259778,0.041333333333333326,0.0374258248461147
